Well No.,Company,Well Name,Latitude,Longitude,KBm,GLm,TD(ft),TD(m),TVD
70,Imp.,Immerk B-48,"69° 37"" 08.30""N","135° 10' 50.70""w",13.8,,8882.9,2707.5,2691.7
71,Shell,Unak B-11,"68° 40' 10"" N","135° 18' 40"" W",10.1,2.4,10975.0,3345.2,3294.8
72,Shell,Kumak J-06,"69°15' 36"" N",135° 00' 58 W,17.7,9.1,11420.0,3480.8,3467.0
73,Gulf et al.,Toapolok O-54,"69° 13' 57.45"" N","134° 58' 31"" W",11.6,3,9140.0,2785.9,2784.0
74,Imp. et al.,Atkinson A-55,"69° 44' 09""N","131° 57' 54""W",9,2.2,7325.1,2232.7,2232.6
75,Gulf et al.,Parsons P-53,"68° 52' 49""N","133° 42' 57""W",51.2,45.7,11270.0,3435.1,3429.6
76,Gulf et al.,Reindeer A-41,"69° 00' 12"" N","134° 40' 19"" W",29,19.8,6000.0,1828.8,1824.0
77,Imp.,Nuna A-32,"69° 01' 14""N","133° 22' 34""W",43.6,36.6,11740.0,3578.4,3571.2
78,Imp.,Adgo F-28,"69° 27' 17"" N","135° 51' 16"" W",8.3,,10527.9,3208.9,3199.5
79,Gulf et al.,Atigi O-48,"68° 57' 48""N","133° 56' 07""W",90.8,84.7,6500.0,1981.2,1981.0
80,Union,Wolverine H-34,"68° 23' 19""N","130° 38' 00""W",145.5,140.2,6698.2,2041.6,2039.9
81,Imp. et al.,Russell H-23,"70° 02' 18""N","130° 06' 28""W",10.7,3.9,6010.0,1831.9,1817.1
82,Gulf et al.,YaYa A-28,"69° 17' 11"" N","134° 35' 27"" W",48.8,39.6,12940.0,3944.1,3937.5
83,Gulf et al.,Parsons O-27,"68° 56' 53""N","133° 35' 56""W",42,36.6,11714.0,3570.4,3265.6
84,Imp.,Mayogiak L-39,"69° 28' 41""N","132° 54' 30""W",14.3,4.9,14589.0,4446.7,4442.7
85,Imp. et al.,Amarok N-44,"69° 53' 59""N","130° 56' 16""W",19.3,12.3,7651.9,2332.3,2293.3
86,Shell,Napoiak F-31,"68° 20' 25"" N","134° 53' 49"" W",13.1,5.5,5015.0,1528.6,1521.0
87,Gulf et al.,Toapolok H-24,"69° 13' 18"" N","134° 50' 25"" W",15.8,10.7,8605.0,2622.8,2619.2
88,Imp.,Pullen E-17,"69° 46' 16""N","134° 19' 41""W",12.8,,12746.0,3885.0,3881.6
89,Shell,Niglintgak M-19,"69° 18' 49"" N","135° 19' 26"" W",10.1,1.5,13206.0,4025.2,3990.2
90,Shell,Kipnik O-20,"68°50' 00"" N","134° 48' 18.9"" W",12.3,4.1,11667.0,3556.1,3489.8
91,Arco,Smoking Hills A-23,"69° 22' 07.46""N","126° 20' 18.7""W",292,289.6,1956.0,596.2,596.2
92,Sun et al.,Unark L-24,"69° 33' 30""N","134° 37' 01.61""W",9.8,,12510.0,3813.1,3802.8
93,Sun et al.,Pelly B-35,"69° 34' 12""N","135° 23' 22""W",8.2,,10919.0,3328.1,3323.3
94,Gulf et al.,YaYa M-33,"69° 12' 56.61""N","134° 39' 44.45""W",49.1,42.7,9149.9,2788.9,
95,Gulf et al.,YaYa I-17,"69° 16' 35"" N","134° 32' 49"" W",26.5,18.3,8799.9,2682.2,
96,Gulf et al.,Kamik D-58,"68° 57' 13""N","133° 29' 51""W",44.8,39.3,10467.8,3190.6,
97,Gulf et al.,Kikoralok N-46,"69° 05' 46"" N","134° 56' 32"" W",14.9,6.1,6185.0,1885.2,1884.1
98,Dome et al.,Imnak J-29,"69° 08' 41""N","133° 06' 05""W",18.3,9.9,11170.0,3404.6,3403.5
99,Imp. et al.,Kapik J-39,"69° 58' 32""N","130° 08' 10""W",13.4,6.4,4812.0,1466.7,1465.4
100,Imp.,Adgo P-25,"69° 24' 57"" N","135° 50' 30"" W",8.1,,8327.0,2538.1,2519.9
101,Imp.,Netserk B-44,"69° 33' 03.04""N","135° 55' 57.74""W",13.4,,11576.0,3528.4,3518.4
102,Shell,Kugpik L-24,"68° 53' 31"" N",135°22' 13 W,12.2,2.9,9242.1,2817.0,
103,Chevron et al.,Upluk M-38,"69° 27' 56""N","135° 24' 54""W",25.9,16.9,12350.0,3764.3,3579.5
104,Imp. et al.,Louth K-45,"69° 54' 32""N","131° 26' 47""W",8.5,1.5,7274.0,2217.1,2216.4
105,Gulf Mobil,Ogeoqeoq J-06,"68° 45' 42""N","133° 46' 00""W",81.1,75.9,6034.0,1839.2,1834.0
106,Gulf et al.,Red Fox P-21,"69° 10' 48""N","133° 35' 01""W",31.7,23.5,13710.0,4178.8,4175.0
107,Shell,Kumak K-16,"69° 15' 32.9""N","135° 03' 58.20""W",11.4,2.9,12169.9,3709.4,3659.2
108,Gulf et al.,Kilagmiotak M-16,"69° 25' 52""N","134° 04' 30""W",29.9,24.4,10350.0,3154.7,3152.6
109,Gulf et al.,Kamik L-60,"68° 59' 40""N","133° 29' 24""W",67.7,61,10522.0,3207.1,
110,Gulf et al.,Parsons A-44,"68° 53' 05""N","133° 40' 36""W",63.1,53.3,11600.0,3535.7,3397.2
111,Imp.,Adgo C-15,"69° 24' 13"" N","135° 49' 3"" W",10.2,,10476.0,3193.1,
112,Shell et al.,Titalik O-15,"69° 04' 58""N","135° 03' 12""W",9.7,4.6,11100.0,3383.3,3379.0
113,Imp. et al.,Ikattok J-17,"69° 16' 40.57""N","136° 18' 13.00""W",8.9,,12500.0,3810.0,3776.2
114,Sun et al.,Garry P-04,"69° 23' 45.8""N","135° 30' 19.4""W",8.5,1.3,11000.0,3352.8,3301.2
115,Shell,Niglintgak B-19,"69° 18' 11"" N","135° 18' 19"" W",10.7,2.1,10315.0,3144.0,2898.2
116,Sobc,North Ellice J-23,"69°12' 34"" N","135° 51' 14"" W",10.9,0.9,11500.0,3505.2,3469.1
117,Imp.,Netserk F-40,"69° 39' 22.7""N","135° 54' 21""W",12.8,,14338.0,4370.2,4362.4
118,Gulf et al.,Parsons L-43,"68° 52' 39""N","133° 41' 56""W",57.9,49.1,10844.2,3305.3,3286.1
119,Gulf et al.,Parsons N-17,"68° 56' 53""N","133° 33' 59""W",53.6,45.7,10812.0,3295.5,3207.6
120,Gulf et al.,Kamik D-48,"68° 57' 13""N","133° 27' 29.9""W",33.2,28,10613.9,3235.1,3224.0
121,Gulf et al.,Siku C-11,"69° 00' 04.9""N","133° 33' 49.9""W",63.1,57.9,10810.0,3294.9,3288.7
122,Shell,Ulu A-35,"68° 44' 02"" N","135° 52' 57"" W",11.3,2.7,12860.0,3919.7,3848.3
123,Imp.,Sarpik B-35,"69° 24' 07.21""N","136° 23' 10.04""W",9.6,,10796.0,3290.6,3194.9
124,Gulf et al.,Tununuk F-30,"68° 59' 22"" N","134° 36' 44"" W",36,29.9,11950.0,3642.4,3561.0
125,Imp. et al.,Wagnark C-23,"69° 12' 01""N","133° 21' 45""W",30.6,23.4,13947.0,4251.1,4245.9
126,Gulf et al.,Siku A-12,"69° 01' 00.29""N","133° 32' 31.88""W",67.7,62.2,10787.0,3287.9,3270.5
127,Gulf et al.,Parsons D-20,"68° 59' 09.29""N","133° 34' 24.81""W",70.4,62,13550.0,4130.0,3270.8
128,Hunt et al.,Kopanoar D-14,"70° 23' 01.19""N","135° 05' 30.96""W",12.2,,3760.0,1146.1,1146.0
129,Dome et al.,Tingmiark K-91,"70° 10' 36.18"" N","132° 58' 56.15"" W",11.6,,10010.0,3051.1,3048.5
130,Dome et al.,Nektoralik K-59,"70° 28' 35.9""N","136° 16' 59.1""W",12.8,,9153.9,2790.1,2786.6
131,Hunt et al.,Kopanoar M-13,"70° 22' 55.40""N","135° 05' 34.17""W",11.9,,14174.0,4320.2,4309.5
132,Imp.,Kugmallit H-59,"69° 38' 21.52""N","133° 27' 48.92""W",11.6,,7195.0,2193.0,2192.7
133,Imp.,Arnak L-30,"69° 49' 44.54""N","133° 52' 21.14""W",14.8,,14839.9,4523.2,4521.6
134,Shell,Tullugak K-31,"68° 50' 38"" N","135° 09' 22"" W",9.6,1.1,9600.0,2926.1,2887.4
135,Sun et al.,Unark L-24A,"69° 33' 30.36""N","134° 37' 01.61""W",9.1,,12910.0,3935.0,3789.6
136,Imp.,Taglu H-54,"69° 23' 20"" N",134° 58' 06 W,10.6,1.4,9165.0,2793.5,2782.8
137,Gulf et al.,Kamik F-38,"68° 57' 22.9""N","133° 23' 54.48""W",27.1,21.8,11700.0,3566.2,3535.2
138,Imp. et al.,Kurk M-39,"69° 08' 55""N","135° 24' 54""W",8.7,1.7,10200.0,3109.0,3099.0
139,Gulf et al.,Parsons L-37,"68° 56' 43""N","133° 39' 55""W",46.6,38.1,12996.0,3961.2,3411.6
140,Gulf et al.,Parsons P-41,"68° 50' 50.8""N","133° 40' 28.29""W",71.3,66.1,11665.0,3555.5,3541.7
141,Chevron et al.,Upluk A-42,"69° 21' 11"" N","135° 25' 34"" W",22.3,13.7,9168.0,2794.4,2791.7
142,Shell,Kumak E-58,"69° 17' 29.48""N","135° 14' 55.28""W",10.7,2.1,5100.0,1554.5,1357.0
143,Mobil et al.,Sadene D-02,"68° 51' 01""N","126° 47' 15""W",236.8,233,6095.0,1857.8,1857.1
144,Imp.,Kannerk G-42,"70° 01' 23.99""N","131° 12' 56.05""W",12.3,,8138.1,2480.5,2480.4
145,Imp.,Umiak N-10,"69° 29' 50""N","134° 16' 25""W",43.9,34.4,15795.0,4814.3,4783.5
146,Gulf et al.,Siku E-21,"69° 00' 29.33""N","133° 36' 55""W",64.6,55.3,11245.0,3427.5,3420.4
147,Gulf et al.,Ogruknang M-31,"68° 50' 52"" N","134° 24' 50"" W",108.2,102.9,14532.0,4429.4,4411.0
148,Chevron et al.,Fish River B-60,"69° 39' 03"" N","136° 13' 39"" W",187.1,177.8,11490.2,3502.2,3499.7
149,Dome et al.,Ukalerk C-50,"70° 09' 05.6""N","132° 44' 08.5""W",11.6,,7561.0,2304.6,2303.8
150,Dome,Kaglulik A-75,"70° 34' 07.19""N","130° 51' 19.79""W",12.8,,2115.2,644.7,644.7
151,Dome,Nerlerk M-98,"70° 27' 47.62""N","133° 29' 44.37""W",12.8,,,4940.0,4890.0
152,Imp.,Isserk E-27,"69° 56' 20.04""N","134° 22' 10.77""W",11.3,,13519.0,4120.6,4108.4
153,Imp.,Mallik J-37,"69° 26' 38""N","134° 38' 23""W",10.2,0.7,10160.0,3096.8,3085.5
154,Sun et al.,Garry G-07,"69° 26' 23"" N","135° 30' 56"" W",17.4,8.8,13193.0,4021.2,3756.3
155,Dome,Natsek E-56,"69° 45' 21.46""N","139° 44' 34.55""W",12.2,,,3520.0,3494.2
156,Dome et al.,Tarsiut A-25,"69° 54' 09.25""N","136° 20' 20.27""W",12.8,,,4434.0,4425.7
157,Dome et al.,Ukalerk 2C-50,"70° 09' 05.27""N","132° 43' 43.9""W",11.3,,16246.0,4951.8,4941.6
158,Dome,Kaglulik M-64,"70° 33' 55.9""N","130° 50' 34.47""W",12.2,,474.1,144.5,144.5
159,Esso et al.,Napartok M-01,"68° 30' 47""N","134° 32' 18""W",15.8,5.1,,1960.0,1957.7
160,Esso,Adgo J-27,"69° 26' 30"" N","135° 50' 52"" W",12.7,,,3108.1,3096.0
161,Dome,Kenalooak J-94,"70° 43' 44.02""N","133° 58' 27.70""W",12.2,,,4568.5,4565.0
162,Dome et al.,Kopanoar L-34,"70° 23' 37.41""N","135° 11' 57.4""W",12.1,,,2015.0,2014.9
163,Dome et al.,Koakoak O-22,"70° 21' 58.87""N","134° 06' 40.1""W",12.8,,,4363.8,4358.0
164,Dome et al.,Kopanoar 2L-34,"70° 23' 41.54""N","135° 11' 57.05""W",11.8,,,181.0,181.0
165,Esso,Mayogiak M-16,"69° 25' 55.28""N","132° 49' 30""W",18.9,8.2,,3093.0,
166,Esso et al.,Issungnak O-61,"70° 01' 00.45""N","134° 18' 47.93""W",7.9,,,3583.0,3582.5
167,Dome et al.,Kilannak A-77,"70° 46' 14.28""N","129° 21' 28.68""W",12.2,,,2996.0,2995.0
168,Dome et al.,Orvilruk O-03,"70° 22' 48""n","136° 30' 52.5""w",12.8,,,3912.0,3893.0
169,Dome et al.,Kopanoar I-44,"70° 23' 43.5""N","135° 12' 02.61""W",11.9,,,649.0,649.0
170,Dome et al.,Kopanoar 2I-44,"70° 23' 43.56""N","135° 12' 12.31""W",11.9,,,4015.0,4008.9
171,Esso et al.,Issungnak 2O-61,"70° 01' 00.06""N","134° 18' 48.44""W",17,,,4460.0,4139.6
172,Gulf et al.,North Issungnak L-86,"70° 05' 32.56""N","134° 26' 45.3""W",12.2,,,4771.0,4766.2
173,Esso et al.,Alerk P-23,"69° 52' 57.0""N","132° 50' 22.0""W",15.7,,,3223.0,3222.5
174,Dome et al.,Irkaluk B-35,"70° 34' 05""N","134° 10' 26""W",11.9,,,4860.0,4855.0
175,Gulf et al.,East Tarsiut N-44,"69° 53' 48.9""N","136° 11' 38.8""W",18,,,4531.0,4478.0
176,Esso et al.,West Atkinson L-17,"69° 46' 33.86""N","132° 04' 32.40""W",13.7,,,2480.0,2477.7
177,Gulf et al.,East Tarsiut N-44A,"69° 53' 46""N","136° 11' 36.5""W",18,,,2928.0,2352.5
178,Gulf et al.,Kiggavik A-43,"69° 52' 10.32""N","135° 55' 17.08""W",12,,,3511.0,3510.7
179,Dome et al.,Aiverk 2I-45,"70° 24' 44.1""N","133° 42' 19.63""W",11.9,,,5034.0,4984.0
180,Esso et al.,Itiyok I-27,"69° 56' 39.9""N","134° 05' 19.18""W",15.7,,,3955.0,3954.4
181,Dome et al.,Uviluk P-66,"70° 15' 48.10""N","132° 18' 44.60""W",30,,,4756.0,4735.0
182,Esso et al.,Natagnak O-59,"69° 48' 56""N","131° 43' 20""W",9.2,2.5,,2120.0,2119.6
183,Esso et al.,Pikiolik G-21,"69° 20' 24""N","132° 35' 43.6""W",74.8,67.6,,1429.6,1428.8
184,Dome et al.,Natiak O-44,"70° 03' 57.00""N","137° 13' 06.66""W",11.5,,,4650.0,4577.0
185,Dome et al.,Havik B-41,"70° 20' 11.1""N","132° 13' 55""W",11.9,,,4750.0,4680.4
186,Dome et al.,Siulik I-05,"70° 24' 37.5""N","134° 30' 39.9""W",12.2,,,4824.0,4802.6
187,Dome et al.,Arluk E-90,"70° 19' 24.15""N","135° 26' 36""W",12.8,,,4300.0,4266.0
188,Gulf et al.,Pitsiulak A-05,"69° 54' 14""N","136° 45' 35""W",20,,,2192.0,2191.6
189,Esso et al.,Kadluk O-07,"69° 46' 48.32""N","136° 01' 16.5""W",16.2,,,3896.0,3892.1
190,Gulf et al.,Kogyuk N-67,"70° 06' 49.36""N","133° 19' 47""W",28,,,4798.0,4792.8
191,Gulf et al.,Amauligak J-44,"70° 03' 31.74""N","133° 42' 45.38""W",19.5,,,4002.0,4000.5
192,Esso et al.,Tuk L-09 (M-09),"69° 18' 51.12""N","133° 02' 06.43""W",31.2,24,,3030.0,3025.0
193,Esso et al.,Nuna A-10,"69° 09' 02""N","133° 15' 00""W",54.2,43.8,,3250.5,3245.9
194,Esso et al.,Amerk O-09,"69° 58' 56.38""N","133° 30' 53.23""W",16.1,,,5000.0,4984.0
195,Gulf et al.,Tarsiut P-45,"69° 54' 55.6""N","136° 25' 04.80""W",22.8,,,3042.0,2253.8
196,Esso et al.,Adgo H-29,"69° 28' 22.66""N","135° 50' 21.40""W",10.2,,,3314.5,3306.0
197,Dome et al.,Nerlerk J-67,"70° 26' 41.9""N","133° 19' 29.1""W",20,,,4904.0,4446.3
198,Esso et al.,Nipterk L-19,"69° 48' 38.14""N","135° 19' 53.49""W",15.3,,,3879.0,3864.0
199,Gulf et al.,Akpak P-35,"70° 14' 52.5""N","134° 09' 22.5""W",20,,,2169.0,2169.7
200,Esso et al.,Tuk J-29,"69° 18' 43.5""N","133° 05' 50.64""W",16.9,10.6,,3176.0,3096.0
201,Gulf et al.,Onigat D-52,"68° 41' 07.5""N","133° 44' 41""W",131.8,126.9,,1409.0,1407.3
202,Gulf et al.,Shakgatlatachig D-50,"68° 39' 07.26""N","133° 57' 08.34""W",151,147,,2061.0,2058.7
203,Esso et al.,Itkrilek B-52,"69° 31' 13.8""N","131° 58' 31.9""W",10.4,6.3,,1284.0,1283.7
204,Chevron et al.,Upluk L-42,"69° 21' 37.79""N","135° 27' 29.35""W",31.5,20.7,,3350.0,3347.9
205,Esso et al.,Taglu West H-06,"69° 25' 22.5""N","135° 00' 19""W",10.5,1.3,,4200.0,4196.3
206,Esso et al.,Tuk H-30,"69° 19' 20.7""N","133° 05' 13.8""W",12.4,7.6,,1400.0,1399.6
207,Esso et al.,Nipterk L-19A,"69° 48' 38.14""N","135° 19' 53.49""W",15.3,,,3520.0,2668.0
208,Gulf et al.,Akpak 2P-35,"70° 14' 52.44""N","134° 09' 22.86""W",20.0,,,3673.0,3672.6
209,Dome et al.,Adlartok P-09,"69° 38' 51.38""N","137° 45' 28.50""W",12.8,,,3647.0,3642.0
210,Dome et al.,Edlok M-56 (N-56),"69° 45' 50.2""N","140° 14' 22.3""W",12.0,,,2530.0,2523.2
211,Gulf et al.,Amauligak I-65,"70° 04' 39.7""N","133° 48' 16.44""W",22.9,,,4126.0,3649.0
212,Esso et al.,Adgo G-24,"69° 23' 23""N","135° 50' 50""W",9.3,,,3087.0,2053.5
213,Gulf et al.,Aagnerk E-56,"69° 45' 16.4""N","136° 59' 55.08""W",20.0,,,1100.0,1100.0
214,Esso et al.,Minuk I-53,"69° 42' 34.74""N","136° 27' 31.86""W",15.2,,,3367.0,3359.6
215,Esso et al.,Tuktuk A-12,"69° 21' 01.4""N","133° 02' 59""W",18.5,11.9,,1790.0,1789.7
216,Esso et al.,Tuk G-39,"69° 18' 23""N","133° 08' 43""W",21.9,17.4,,1797.0,1794.3
217,Esso et al.,Tuk B-40,"69° 19' 13.7""N","133° 08' 19.8""W",20.6,16.1,,1800.0,1799.6
218,Gulf et al.,Parsons E-02 (F-02),"68° 51' 15.7""N","133° 31' 10.3""W",42.1,37.2,,1270.5,1268.6
219,Esso et al.,Tuktuk H-22,"69° 21' 22.1""N","133° 05' 02""W",14.6,10.3,,1802.0,1800.3
220,Esso et al.,Tuk G-48,"69° 17' 23.2""N","133° 11' 02.1""W",18.2,13.7,,1700.0,1699.4
221,Chevron et al.,North Ellice L-39,"69° 18' 43.3""","135° 54' 59.79""",13.9,,,2047.0,2046.4
222,Gulf et al.,Amauligak I-65A,"70° 04' 39.7""N","133° 48' 16.4""W",22.9,,,4521.0,3715.5
223,Gulf et al.,Onigat K-49,"68° 48' 20.23""N","133° 41' 46.8""W",61.6,56.8,,1423.0,1422.8
224,Esso et al.,Tuktuk D-11,"69° 20' 21""N","133° 04' 41""W",13.7,9.6,,1810.0,1809.4
225,Esso et al.,Hansen G-07,"69° 36' 20.6""N","134° 01' 11.7""W",16.0,8.2,,3276.0,3275.4
226,Esso et al.,Mayogiak N-34,"69° 23' 59.7""N","132° 54' 03.4""W",31.2,27.6,,1722.0,1721.6
227,Esso et al.,Mayogiak G-12,"69° 21' 17.1""N","132° 48' 38.9""W",33.9,27.6,,2829.0,2825.9
