WID,Consortium,Current Owner,Land Owner,Well Name,UWI,Class,Status,Latitude (NAD83) -Well Post,Longitude (NAD83) -Well Post,Region,Original Spud Date,Original Rig Release Date,Depth (m),Notes
975,SUNCOR TENN ET AL CASTEL BAY C-68,Suncor,Aulavik National Park,CASTEL BAY C-68,300C687410120300,Exploratory Well,Abandoned,"74° 7' 13.0""","120° 50' 10.1""",NWT Arctic Islands Onshore,29-Jan-75,05-Apr-75,,
407,CPOG CROSSLEY LK S K-60,Encana,ILA,CROSSLEY LK S K-60,300K606830129150,Exploratory Well,Abandoned,"68° 29' 39.3""","129° 29' 22.8""",NWT Mainland,28-Aug-68,09-Mar-69,,
1073,SUNCOR AIEG ET AL DEPOT ISLAND C-44,Suncor,Territorial,DEPOT ISLAND C-44,300C447630114000,Exploratory Well,Abandoned,"76° 23' 17.1""","114° 17' 54.9""",NWT Arctic Islands Onshore,19-Apr-77,10-Jun-77,,
744,SUNCOR DOME DUNDAS C-80,Suncor,Territorial,DUNDAS C-80,300C807440113000,Exploratory Well,Abandoned,"74° 39' 4.3""","113° 23' 8.6""",NWT Arctic Islands Onshore,14-Oct-72,19-Jan-73,,
1012,ELF ET AL DYER BAY L-49,Husky,Territorial,DYER BAY L-49,300L497610121300,Exploratory Well,Abandoned,"76° 8' 37.6""","121° 48' 49.2""",NWT Arctic Islands Onshore,01-Nov-75,20-Feb-76,,
1013,SUNCOR ET AL E. HECLA C-32,Suncor,ILA,EAST HECLA C-32,300C327630110000,Delineation Well,Suspended,"76° 21' 12.1""","110° 13' 54.7""",NWT Arctic Islands Onshore,07-Nov-75,16-Dec-75,,
754,PANARCTIC TENN ET AL POR,Suncor,ILA,EAST HECLA F-62,300F627630110002,Exploratory,Plug and abandoned,"76° 21' 15.8""","110° 24' 38.5""",NWT Arctic Islands Onshore,11-Nov-72,11-Dec-72,1219,
934,SUNCOR GULF EGLINTON P-24,Suncor,Territorial,EGLINTON P-24,300P247600118000,Exploratory Well,Abandoned,"75° 53' 55.4""","118° 7' 50.1""",NWT Arctic Islands Onshore,06-Jun-74,03-Jul-74,,
1969,MGM ET AL ELLICE I-48,Uncertain,Territorial,ELLICE I-48,300I486910135450,Exploratory Well,Suspended,"69° 7' 33.6""","135° 55' 43.4""",NWT Mackenzie Delta Onshore,04-Feb-04,16-Apr-04,,Ownership uncertain by MGM. Chevron or MGM.
2059,MGM ET AL ELLICE J-27,MGM Energy Corp.,Territorial,ELLICE J-27,300J276910135450,Exploratory Well,Suspended,"69° 6' 39.3""","135° 51' 3.5""",NWT Mackenzie Delta Onshore,25-Dec-08,22-Jan-09,,
475,IOE ELLICE O-14,Imperial,Territorial,ELLICE O-14,300O146910135450,Exploratory Well,Abandoned,"69° 3' 55.6""","135° 48' 25.8""",NWT Mackenzie Delta Onshore,19-Nov-69,17-Feb-70,,
762,BP ET AL PANARCTIC EMERALD K-33,BP,Territorial,EMERALD K-33,300K337650113300,Exploratory Well,Abandoned,"76° 42' 45.7""","113° 43' 31.1""",NWT Arctic Islands Onshore,12-Dec-72,13-Apr-73,,
463,IOE ESKIMO J-07,Imperial,ILA,ESKIMO J-07,300J076920132300,Exploratory Well,Abandoned,"69° 16' 42.9""","132° 31' 8.8""",NWT Mackenzie Delta Onshore,10-May-69,31-May-69,,
1075,CHEVRON CANADA PEX ET AL FISH RIVER B-60,Chevron,ILA,FISH RIVER B-60,300B606840136000,Exploratory Well,Abandoned,"68° 39' 2.5""","136° 13' 48.4""",NWT Mackenzie Delta Onshore,21-Jun-77,31-Oct-77,,
1088,SUN CCL BVX ET AL GARRY G-07,Uncertain,Territorial,GARRY G-07,300G076930135301,Exploratory Well,Abandoned,"69° 43' 95.8""","135° 51' 55.55""",NWT Mackenzie Delta Onshore,10-Feb-78,13-May-78,4021.2,Chevron or Suncor
1006,SUN SOBC BVX ET AL GARRY P-04,Uncertain,Territorial,GARRY P-04,300P046930135300,Exploratory Well,Abandoned,"69° 23' 45.5""","135° 30' 29.5""",NWT Mackenzie Delta Onshore,25-Aug-75,05-Jan-76,,Chevron or Suncor
1597,ESSO PCI HOME ET AL HANSEN G-07,Imperial,Territorial,HANSEN G-07,300G076940134000,Exploratory Well,Suspended,"69° 36' 20.4""","134° 1' 22.0""",NWT Mackenzie Delta Onshore,10-Feb-86,11-Apr-86,,
1107,DOME PANARCTIC ET AL HEARNE F-85,BP,Territorial,HEARNE F-85,300F857450110300,Exploratory Well,Abandoned,"74° 44' 18.2""","110° 56' 5.9""",NWT Arctic Islands Onshore,25-Oct-78,09-Jan-79,,
799,PANARCTIC TENNECO ET AL,Suncor,ILA,HECLA I-69,300I697620110001,Delineation,Plug and abandoned,"76° 18' 36.7""",110° 23' 15.4,NWT Arctic Islands Onshore,22-Feb-73,11-Apr-73,1456.6,
540,PANARCTIC HOMESTEAD,Suncor,ILA,HECLA J-60,300J607620110000,Exploratory,Plug and abandoned,"76° 19' 37.9""","110° 19' 49.1""",NWT Arctic Islands Onshore,31-May-70,16-Sep-70,3616.5,
473,ELF HORTON RIVER G-02,Husky,ILA,HORTON RIVER G-02,300G027000127150,Exploratory Well,Abandoned,"69° 51' 23.1""","127° 16' 5.9""",NWT Mainland,09-Nov-69,22-Jan-70,,
639,GULF MOBIL IKHIL A-01,ConocoPhillips,ILA,IKHIL A-01,300A016850134000,Exploratory Well,Abandoned,"68° 40' 12.7""","134° 0' 40.4""",NWT Mackenzie Delta Onshore,09-May-71,27-Jun-71,,
830,GULF MOBIL IKHIL I-37,Uncertain,ILA,IKHIL I-37,300I376850134000,Exploratory Well,Abandoned,"68° 46' 33.7""","134° 7' 59.6""",NWT Mackenzie Delta Onshore,10-Apr-73,03-Dec-73,,Sold to Shell by ConocoPhillips. Shell would not confirm.
1839,UGFI et al IKHIL J-35,Inuvialuit Petroleum Corporation,ILA,IKHIL J-35,300J356850134000,Delineation Well,Suspended,"68° 44' 35.3""","134° 8' 44.4""",NWT Mackenzie Delta Onshore,27-Feb-98,20-Mar-98,,
1606,UGFI et al IKHIL K-35,Inuvialuit Petroleum Corporation,ILA,IKHIL K-35,300K356850134000,Exploratory Well,Suspended,"68° 44' 43.4""","134° 9' 25.6""",NWT Mackenzie Delta Onshore,27-Feb-86,25-Mar-86,,
1840,IPC IKHIL N-26,Inuvialuit Petroleum Corporation,ILA,IKHIL N-26,300N266850134000,Delineation Well,Abandoned,"68° 45' 54.9""","134° 6' 46.8""",NWT Mackenzie Delta Onshore,20-Mar-98,05-Apr-98,,
908,COLUMBIA ET AL AMOCO IKKARIKTOK M-64,Uncertain,Territorial,IKKARIKTOK M-64,300M647230121300,Exploratory Well,Abandoned,"72° 23' 49.0""","121° 51' 9.1""",NWT Arctic Islands Onshore,26-Feb-74,16-Apr-74,,BP or Canadian Nat Resources
965,DOME IMP IMNAK J-29,BP,ILA,IMNAK J-29,300J296910133000,Exploratory Well,Abandoned,"69° 8' 40.8""","133° 6' 14.8""",NWT Mackenzie Delta Onshore,22-Dec-74,12-Mar-75,,
780,ELF INTREPID INLET H-49,Husky,Territorial,INTREPID INLET H-49,300H497700118300,Exploratory Well,Abandoned,"76° 58' 29.0""","118° 45' 15.7""",NWT Arctic Islands Onshore,10-Jan-73,18-Mar-73,,
1984,DEVON ET AL ITIGINKPAK F-29,Canadian Natural Resources,Territorial,ITIGINKPAK F-29 (N2002A0039),300F296830134300,Exploratory Well,Abandoned,"68° 28' 17.9""","134° 36' 41.0""",NWT Mackenzie Delta Onshore,11-Feb-03,16-Mar-03,,
1499,ESSO PCI HOME ET AL ITKRILEK B-52,Imperial,Territorial,ITKRILEK B-52,300B526940131450,Exploratory Well,Abandoned,"69° 31' 13.8""","131° 58' 41.7""",NWT Mackenzie Delta Onshore,21-Mar-85,04-Apr-85,,
767,IMP IVIK C-52,Imperial,Territorial,IVIK C-52,300C526940134150,Exploratory Well,Abandoned,"69° 31' 9.8""","134° 29' 2.1""",NWT Mackenzie Delta Onshore,19-Dec-72,13-Feb-73,,
716,ESSO IVIK J-26,Imperial,Territorial,IVIK J-26,300J266940134150,Exploratory Well,Suspended,"69° 35' 41.8""","134° 20' 48.1""",NWT Mackenzie Delta Onshore,08-Apr-72,30-Sep-72,,
825,IMP,Imperial,Territorial,IVIK K-54,300K546940134150,Exploratory,Plug and abandoned,"69° 33' 36.0""","134° 29' 1.0""",NWT Mackenzie Delta Onshore,30-Mar-73,8-Jun-73,3151,
779,IMP IVIK N-17,Imperial,Territorial,IVIK N-17,300N176940134150,Delineation Well,Abandoned,"69° 36' 50.8""","134° 19' 26.1""",NWT Mackenzie Delta Onshore,10-Jan-73,04-Mar-73,,
620,ELF JAMESON BAY C-31,Husky,Territorial,JAMESON BAY C-31,300C317650116300,Exploratory Well,Abandoned,"76° 40' 14.6""","116° 43' 56.6""",NWT Arctic Islands Onshore,11-Mar-71,16-May-71,,
1018,GULF-MOBIL KAMIK D-48,ConocoPhillips,Territorial,KAMIK D-48,300D486900133150,Delineation Well,Other,"68° 57' 12.4""","133° 27' 39.6""",NWT Mackenzie Delta Onshore,23-Dec-75,04-Apr-76,,
960,GULF-MOBIL KAMIK D-58,ConocoPhillips,Territorial,KAMIK D-58,300D586900133150,Delineation Well,Abandoned,"68° 57' 13.0""","133° 30' 1.1""",NWT Mackenzie Delta Onshore,26-Nov-74,14-Mar-75,,
1055,GULF-MOBIL KAMIK F-38,ConocoPhillips,Territorial,KAMIK F-38,300F386900133150,Exploratory Well,Abandoned,"68° 57' 22.7""","133° 24' 4.2""",NWT Mackenzie Delta Onshore,13-Dec-76,13-Mar-77,,
991,GULF-MOBIL KAMIK L-60,ConocoPhillips,Territorial,KAMIK L-60,300L606900133150,Exploratory Well,Abandoned,"68° 59' 40.5""","133° 29' 33.8""",NWT Mackenzie Delta Onshore,29-Mar-75,11-Jun-75,,
789,IMP CIGOL KANGUK F-42,Imperial,Territorial,KANGUK F-42,300F427000131000,Exploratory Well,Abandoned,"69° 51' 26.1""","131° 11' 30.8""",NWT Mackenzie Delta Onshore,27-Jan-73,15-Feb-73,,
603,IOE KANGUK I-24,Imperial,Territorial,KANGUK I-24,300I247000131000,Exploratory Well,Abandoned,"69° 53' 40.1""","131° 5' 21.8""",NWT Mackenzie Delta Onshore,13-Feb-71,07-Mar-71,,
968,IMP CIGOL KAPIK J-39,Imperial,Territorial,KAPIK J-39,300J397000130000,Exploratory Well,Abandoned,"69° 58' 32.2""","130° 8' 19.8""",NWT Mackenzie Delta Onshore,01-Jan-75,30-Jan-75,,
964,GULF MOBIL KIKORALOK N-46,ConocoPhillips,Territorial,KIKORALOK N-46,300N466910134450,Exploratory Well,Abandoned,"69° 5' 45.7""","134° 56' 42.7""",NWT Mackenzie Delta Onshore,20-Dec-74,25-Jan-75,,
693,GULF MOBIL KILAGMIOTAK F-48,ConocoPhillips,Territorial,KILAGMIOTAK F-48,300F486930134000,Exploratory Well,Abandoned,"69° 27' 28.9""","134° 12' 1.1""",NWT Mackenzie Delta Onshore,04-Feb-72,12-Oct-72,,
984,GULF MOBIL KILAGMIOTAK M-16,ConocoPhillips,Territorial,KILAGMIOTAK M-16,300M166930134000,Exploratory Well,Abandoned,"69° 25' 51.9""","134° 4' 40.1""",NWT Mackenzie Delta Onshore,25-Feb-75,01-Apr-75,,
845,ELF ET AL KILIGVAK I-29,Husky,Territorial,KILIGVAK I-29,300I296930131150,Exploratory Well,Abandoned,"69° 28' 38.0""","131° 20' 25.7""",NWT Mackenzie Delta Onshore,16-May-73,08-Aug-73,,
670,IMP IOE KIMIK D-29,Imperial,ILA,KIMIK D-29,300D296940132150,Exploratory Well,Abandoned,"69° 38' 5.0""","132° 22' 19.8""",NWT Mackenzie Delta Onshore,17-Dec-71,16-Feb-72,,
939,SHELL KIPNIK O-20,Shell,ILA,KIPNIK O-20,300O206850134450,Exploratory Well,Abandoned,"68° 49' 59.5""","134° 48' 28.4""",NWT Mackenzie Delta Onshore,14-Jul-74,21-Nov-74,,
561,SUN KR PANARCTIC KITSON R. C-71,Suncor,Territorial,KITSON R. C-71,300C717620112300,Exploratory Well,Abandoned,"76° 10' 15.1""","112° 59' 5.4""",NWT Arctic Islands Onshore,14-Nov-70,06-Feb-71,,
458,CPOG KUGALUK N-02,Encana,Territorial,KUGALUK N-02,300N026840131300,Exploratory Well,Abandoned,"68° 31' 55.0""","131° 31' 28.1""",NWT Mainland,02-Apr-69,18-Dec-69,,
976,SHELL,Shell,Territorial,KUGPIK L-24,300L246900135150,Delineation,Plug and abandoned,"68° 89' 20.6""","135° 37' 02.8""",NWT Mackenzie Delta Onshore,3-Feb-75,11-Apr-75,2871,
1942,PC Devon,Suncor,Territorial,KUGPIK L-46,300L466900135150,Exploratory,Plug and suspended,"69° 04' 51.315""","135° 19'23.67""",NWT Mackenzie Delta Onshore,11-Mar-02,25-Apr-02,3014,
821,SHELL KUGPIK O-13,Shell,Territorial,KUGPIK O-13,300O136900135150,Exploratory Well,Suspended,"68° 52' 49.6""","135° 18' 24.6""",NWT Mackenzie Delta Onshore,26-Mar-73,30-Sep-73,,
,,Shell,Territorial,KUMAK A-29 (I-29), 300N2006A0029,,,"69° 17' 00.0""","135° 5' 28.0""",NWT Mackenzie Delta Onshore,,,,
838,SHELL,Shell,Territorial,KUMAK C-58,300C586920135000,Exploratory,Plug and abandoned,"69° 28' 50.4""","135° 13' 15.3""",NWT Mackenzie Delta Onshore,25-Apr-73,19-Oct-73,3530.2,
1064,SHELL,Shell,Territorial,KUMAK E-58,300E586920135001,Delineation,Plug and abandoned,"69° 17' 29.4""","135° 14' 55.3""",NWT Mackenzie Delta Onshore,28-Feb-77,8-Jun-77,1554.5,
2043,MGM ET AL KUMAK I-25,MGM Energy Corp.,Territorial,KUMAK I-25,300I256920135000,Exploratory Well,Suspended,"69° 14' 41.9""","135° 5' 14.5""",NWT Mackenzie Delta Onshore,07-Feb-07,07-Mar-07,,
879,SHELL KUMAK J-06,Shell,Territorial,KUMAK J-06,300J066920135000,Delineation Well,Abandoned,"69° 15' 35.7""","135° 1' 7.7""",NWT Mackenzie Delta Onshore,24-Nov-73,16-May-74,,
983,SHELL KUMAK K-16,Shell,Territorial,KUMAK K-16,300K166920135000,Delineation Well,Suspended,"69° 15' 32.6""","135° 4' 8.1""",NWT Mackenzie Delta Onshore,24-Feb-75,13-Jul-75,,
1901,SUNCOR ANDERSON KURK M-15,Suncor,Territorial,KURK M-15 (N2000A0050),300M156910135150,Exploratory Well,Suspended,"69° 4' 50.9""","135° 19' 33.5""",NWT Mackenzie Delta Onshore,10-Feb-01,17-Apr-01,,
1056,IMP DELTA 5 KURK M-39,Imperial,Territorial,KURK M-39,300M396910135150,Exploratory Well,Abandoned,"69° 8' 54.7""","135° 25' 3.8""",NWT Mackenzie Delta Onshore,16-Dec-76,09-Mar-77,,
962,ELFEX ET AL KUSRHAAK D-16,Husky,Aulavik National Park,KUSRHAAK D-16,300D167330120000,Exploratory Well,Abandoned,"73° 25' 5.9""","120° 5' 28.1""",NWT Arctic Islands Onshore,12-Jul-74,04-Apr-75,,
2054,MGM ET AL LANGLEY E-07,MGM Energy Corp.,Territorial,LANGLEY E-07,300E076920135300,Exploratory Well,Suspended,"69° 16' 23.8""","135° 32' 13.0""",NWT Mackenzie Delta Onshore,17-Mar-08,01-Apr-08,,
828,IMP LANGLEY E-29,Imperial,Territorial,LANGLEY E-29,300E296920135300,Exploratory Well,Abandoned,"69° 18' 28.7""","135° 37' 6.0""",NWT Mackenzie Delta Onshore,08-Apr-73,19-Jul-73,,
1985,MGM ET AL LANGLEY K-30,MGM Energy Corp.,Territorial,LANGLEY K-30,300K306920135300,Exploratory Well,Suspended,"69° 19' 30.2""","135° 36' 49.3""",NWT Mackenzie Delta Onshore,19-Mar-03,12-Apr-03,,
980,IMP DOME LOUTH K-45,Imperial,Territorial,LOUTH K-45,300K457000131150,Exploratory Well,Abandoned,"69° 54' 32.1""","131° 26' 56.9""",NWT Mackenzie Delta Onshore,19-Feb-75,12-Mar-75,,
574,IOE MAGAK A-32,Imperial,Territorial,MAGAK A-32,300A326940132000,Exploratory Well,Abandoned,"69° 31' 9.0""","132° 7' 41.8""",NWT Mackenzie Delta Onshore,20-Dec-70,22-Jan-71,,
1827,AURORA/JOGMEC/NRCAN MALLIK 2L-38,Japex,Territorial,MALLIK 2L-38,302L386930134300,Development Well,Suspended,"69° 27' 40.5""","134° 39' 40.5""",NWT Mackenzie Delta Onshore,16-Feb-98,28-Mar-98,,
1919,AURORA/JOGMEC/NRCAN MALLIK 3L-38,Japex,Territorial,MALLIK 3L-38,303L386930134300,Test Hole,Suspended,"69° 27' 38.1""","134° 39' 51.7""",NWT Mackenzie Delta Onshore,25-Dec-01,08-Jan-02,,
1920,AURORA/NRCAN MALLIK 4L-38,Japex,Territorial,MALLIK 4L-38,304L386930134300,Test Hole,Suspended,"69° 27' 40.6""","134° 39' 45.0""",NWT Mackenzie Delta Onshore,11-Jan-02,24-Jan-02,,
1921,AURORA/NRCAN MALLIK 5L-38,Japex,Territorial,MALLIK 5L-38,305L386930134300,Test Hole,Suspended,"69° 27' 39.3""","134° 39' 48.4""",NWT Mackenzie Delta Onshore,25-Jan-02,14-Mar-02,,
2046,ARI/JOGMEC/NRCAN MALLIK 6L-38,Japex,Territorial,MALLIK 6L-38,306L386930134300,Test Hole,Abandoned,"69° 27' 40.8""","134° 39' 44.4""",NWT Mackenzie Delta Onshore,20-Apr-07,20-Apr-07,,
722,ESSO MALLIK A-06,Imperial,Territorial,MALLIK A-06,300A066930134300,Exploratory Well,Abandoned,"69° 25' 0.9""","134° 30' 26.1""",NWT Mackenzie Delta Onshore,21-Apr-72,08-Oct-72,,
1084,IMP MALLIK J-37,Imperial,Territorial,MALLIK J-37,300J376930134300,Exploratory Well,Abandoned,"69° 26' 37.8""","134° 38' 33.1""",NWT Mackenzie Delta Onshore,22-Dec-77,11-Apr-78,,
673,ESSO MALLIK L-38,Imperial,Territorial,MALLIK L-38,300L386930134300,Exploratory Well,Suspended,"69° 27' 43.8""","134° 39' 35.1""",NWT Mackenzie Delta Onshore,24-Dec-71,05-Apr-72,,
773,IMP,Imperial,Territorial,MALLIK P-59,300P596930134300,Delineation,Plug and abandoned,"69° 29' 1.7""","134° 43' 15.0""",NWT Mackenzie Delta Onshore,30-Dec-72,2-Mar-73,2633.3,
470,SUNCOR MARIE BAY D-02,Suncor,Territorial,MARIE BAY D-02,300D027630115300,Exploratory Well,Abandoned,"76° 21' 3.6""","115° 33' 41.8""",NWT Arctic Islands Onshore,13-Aug-69,24-Sep-69,,
1603,ESSO HOME ET AL MAYOGIAK G-12,Imperial,ILA,MAYOGIAK G-12,300G126930132450,Exploratory Well,Abandoned,"69° 21' 17.0""","132° 48' 48.7""",NWT Mackenzie Delta Onshore,18-Feb-86,28-Mar-86,,
631,ESSO MAYOGIAK J-17,Imperial,ILA,MAYOGIAK J-17,300J176930132450,Exploratory Well,Suspended,"69° 26' 41.9""","132° 48' 22.2""",NWT Mackenzie Delta Onshore,03-Apr-71,06-Aug-71,,
919,IMP MAYOGIAK L-39,Imperial,ILA,MAYOGIAK L-39,300L396930132450,Delineation Well,Abandoned,"69° 28' 40.9""","132° 54' 39.9""",NWT Mackenzie Delta Onshore,10-Apr-74,30-Aug-74,,
1152,ESSO MAYOGIAK M-16,Imperial,ILA,MAYOGIAK M-16,300M166930132450,Development Well,Abandoned,"69° 25' 55.2""","132° 49' 39.8""",NWT Mackenzie Delta Onshore,24-Jan-80,10-Apr-80,,
1599,ESSO HOME ET AL MAYOGIAK N-34,Imperial,ILA,MAYOGIAK N-34,300N346930132450,Exploratory Well,Abandoned,"69° 23' 59.6""","132° 54' 13.3""",NWT Mackenzie Delta Onshore,14-Feb-86,06-Mar-86,,
1197,CHEVRON MUSKOX D-87,Chevron,Territorial,MUSKOX D-87,300D877340117000,Exploratory Well,Abandoned,"73° 36' 10.1""","117° 27' 9.5""",NWT Arctic Islands Onshore,30-Oct-81,27-Jan-82,,
1132,DOME PANARCTIC N. DUNDAS N-82,BP,Territorial,NORTH DUNDAS N-82,300N827450113000,Exploratory Well,Abandoned,"74° 41' 50.0""","113° 25' 50.0""",NWT Arctic Islands Onshore,11-Jun-79,11-Sep-79,,
686,ELF NANUK D-76,Husky,ILA,NANUK D-76,300D767310123000,Exploratory Well,Abandoned,"73° 5' 14.7""","123° 23' 56.0""",NWT Arctic Islands Onshore,17-Jan-72,04-Mar-72,,
1116,ESSO PEX NAPARTOK M-01,Imperial,Territorial,NAPARTOK M-01,300M016840134300,Exploratory Well,Abandoned,"68° 30' 46.6""","134° 32' 27.3""",NWT Mackenzie Delta Onshore,11-Feb-79,16-Mar-79,,
921,SHELL NAPOIAK F-31,Shell,Territorial,NAPOIAK F-31,300F316830134450,Exploratory Well,Abandoned,"68° 20' 24.5""","134° 53' 58.2""",NWT Mackenzie Delta Onshore,12-Apr-74,17-May-74,,
533,IOE NATAGNAK H-50,Imperial,Territorial,NATAGNAK H-50,300H506950131300,Exploratory Well,Abandoned,"69° 49' 27.0""","131° 40' 20.9""",NWT Mackenzie Delta Onshore,30-Apr-70,01-Jun-70,,
520,IOE NATAGNAK K-23,Imperial,Territorial,NATAGNAK K-23,300K236950131300,Exploratory Well,Abandoned,"69° 42' 31.0""","131° 36' 53.8""",NWT Mackenzie Delta Onshore,13-Mar-70,13-Apr-70,,
806,IMP CIGOL NATAGNAK K-53,Imperial,Territorial,NATAGNAK K-53,300K536950131300,Exploratory Well,Abandoned,"69° 42' 39.0""","131° 44' 4.9""",NWT Mackenzie Delta Onshore,04-Mar-73,29-Mar-73,,
1254,ESSO PEX HOME ET AL NATAGNAK O-59,Imperial,Territorial,NATAGNAK O-59,300O596950131300,Exploratory Well,Abandoned,"69° 48' 56.4""","131° 43' 30.0""",NWT Mackenzie Delta Onshore,17-Dec-82,28-Jan-83,,
211,TEXCAN C & E,Chevron,ILA,NICHOLSON G-56,300G567000128450,Exploratory,Plug and abandoned,"69° 55' 28.9""","128° 58' 34.0""",NWT Mackenzie Delta Onshore,4-Sep-62,19-Sep-62,863.5,
212,TEXCAN C & E NICHOLSON N-45,Chevron,ILA,NICHOLSON N-45,300N457000128450,Exploratory Well,Abandoned,"69° 54' 59.3""","128° 56' 28.5""",NWT Mainland,30-Oct-62,07-Nov-62,,
1009,SHELL NIGLINTGAK B-19,Shell,Territorial,NIGLINTGAK B-19,300B196920135150,Delineation Well,Suspended,"69° 18' 10.7""","135° 18' 29.0""",NWT Mackenzie Delta Onshore,18-Oct-75,22-Feb-76,,
753,SHELL NIGLINTGAK H-30,Shell,Territorial,NIGLINTGAK H-30,300H306920135150,Exploratory Well,Suspended,"69° 19' 20.9""","135° 20' 45.3""",NWT Mackenzie Delta Onshore,24-Oct-72,07-Apr-73,,
